Time (ms),GROOV-EPIC:M7_CA.Value
0.00,0
0.02,0
0.04,0
0.06,0
0.08,0
0.10,0
0.12,0
0.14,0
0.16,0
0.18,0
0.20,0
0.22,0
0.24,0
0.26,0
0.28,0
0.30,0
0.32,0
0.34,0
0.36,0
0.38,0
0.40,0
0.42,0
0.44,0
0.46,0
0.48,0
0.50,0
0.52,0
0.54,0
0.56,0
0.58,0
0.60,0
0.62,0
0.64,0
0.66,0
0.68,0
0.70,0
0.72,0
0.74,0
0.76,0
0.78,0
0.80,0
0.82,0
0.84,0
0.86,0
0.88,0
0.90,0
0.92,0
0.94,0
0.96,0
0.98,0
1.00,0
1.02,0
1.04,0
1.06,0
1.08,0
1.10,0
1.12,0
1.14,0
1.16,0
1.18,0
1.20,0
1.22,0
1.24,0
1.26,0
1.28,0
1.30,0
1.32,0
1.34,0
1.36,0
1.38,0
1.40,0
1.42,0
1.44,0
1.46,0
1.48,0
1.50,0
1.52,0
1.54,0
1.56,0
1.58,0
1.60,0
1.62,0
1.64,0
1.66,0
1.68,0
1.70,0
1.72,0
1.74,0
1.76,0
1.78,0
1.80,0
1.82,0
1.84,0
1.86,0
1.88,0
1.90,0
1.92,0
1.94,0
1.96,0
1.98,0
2.00,0
2.02,0
2.04,0
2.06,0
2.08,0
2.10,0
2.12,0
2.14,0
2.16,0
2.18,0
2.20,0
2.22,0
2.24,0
2.26,0
2.28,0
2.30,0
2.32,0
2.34,0
2.36,0
2.38,0
2.40,0
2.42,0
2.44,0
2.46,0
2.48,0
2.50,0
2.52,0
2.54,0
2.56,0
2.58,0
2.60,0
2.62,0
2.64,0
2.66,0
2.68,0
2.70,0
2.72,0
2.74,0
2.76,0
2.78,0
2.80,0
2.82,0
2.84,0
2.86,0
2.88,0
2.90,0
2.92,0
2.94,0
2.96,0
2.98,0
3.00,0
3.02,0
3.04,0
3.06,0
3.08,0
3.10,0
3.12,0
3.14,0
3.16,0
3.18,0
3.20,0
3.22,0
3.24,0
3.26,0
3.28,0
3.30,0
3.32,0
3.34,0
3.36,0
3.38,0
3.40,0
3.42,0
3.44,0
3.46,0
3.48,0
3.50,0
3.52,0
3.54,0
3.56,0
3.58,0
3.60,0
3.62,0
3.64,0
3.66,0
3.68,0
3.70,0
3.72,0
3.74,0
3.76,0
3.78,0
3.80,0
3.82,0
3.84,0
3.86,0
3.88,0
3.90,0
3.92,0
3.94,0
3.96,0
3.98,0
4.00,0
4.02,0
4.04,0
4.06,0
4.08,0
4.10,0
4.12,0
4.14,0
4.16,0
4.18,0
4.20,0
4.22,0
4.24,0
4.26,0
4.28,0
4.30,0
4.32,0
4.34,0
4.36,0
4.38,0
4.40,0
4.42,0
4.44,0
4.46,0
4.48,0
4.50,0
4.52,0
4.54,0
4.56,0
4.58,0
4.60,0
4.62,0
4.64,146.422
4.66,146.422
4.68,146.422
4.70,146.422
4.72,146.422
4.74,146.422
4.76,146.422
4.78,146.422
4.80,146.422
4.82,146.422
4.84,146.422
4.86,146.422
4.88,146.422
4.90,334.523
4.92,334.523
4.94,334.523
4.96,334.523
4.98,334.523
5.00,334.523
5.02,334.523
5.04,334.523
5.06,334.523
5.08,334.523
5.10,539.953
5.12,539.953
5.14,539.953
5.16,539.953
5.18,539.953
5.20,539.953
5.22,539.953
5.24,539.953
5.26,539.953
5.28,539.953
5.30,539.953
5.32,539.953
5.34,539.953
5.36,539.953
5.38,539.953
5.40,749.023
5.42,749.023
5.44,749.023
5.46,749.023
5.48,749.023
5.50,749.023
5.52,749.023
5.54,749.023
5.56,749.023
5.58,825.703
5.60,825.703
5.62,825.703
5.64,825.703
5.66,825.703
5.68,825.703
5.70,825.703
5.72,825.703
5.74,825.703
5.76,825.703
5.78,825.703
5.80,825.703
5.82,825.703
5.84,851.289
5.86,851.289
5.88,851.289
5.90,851.289
